"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: A",0.994199018295404,0.9992863514719,0.998207885304659,0.997684360527253,0.99820788530466,0.994199018295404,0.99619941873463,0.285623247514657,0.283966352281417,0.284476166199337,0.996742684883652
"Class: B",0.99470549305096,0.997632202052092,0.990118577075099,0.99873577749684,0.990118577075099,0.99470549305096,0.992406734896005,0.192582207494265,0.191562579658425,0.193474381850625,0.996168847551526
"Class: C",0.989067055393586,0.998300895891257,0.991959064327485,0.997684470515591,0.991959064327485,0.989067055393586,0.990510948905109,0.174866173846546,0.172954371654346,0.174356359928626,0.993683975642422
"Class: D",0.989147286821705,0.998474679682733,0.992223950233282,0.997865853658537,0.992223950233281,0.989147286821705,0.990683229813665,0.164414988529187,0.162630639816467,0.163905174611267,0.993810983252219
"Class: E",1,0.998440910508263,0.993065187239945,1,0.993065187239945,1,0.99652052887961,0.182513382615345,0.182513382615345,0.183787917410145,0.999220455254132
