"Prediction","Reference","Freq"
"A","A",2228
"B","A",13
"C","A",0
"D","A",0
"E","A",0
"A","B",3
"B","B",1503
"C","B",4
"D","B",1
"E","B",0
"A","C",1
"B","C",2
"C","C",1357
"D","C",9
"E","C",3
"A","D",0
"B","D",0
"C","D",7
"D","D",1276
"E","D",7
"A","E",0
"B","E",0
"C","E",0
"D","E",0
"E","E",1432
