"Prediction","Reference","Freq"
"A","A",2032
"B","A",624
"C","A",646
"D","A",577
"E","A",211
"A","B",41
"B","B",525
"C","B",33
"D","B",244
"E","B",191
"A","C",154
"B","C",369
"C","C",689
"D","C",465
"E","C",383
"A","D",0
"B","D",0
"C","D",0
"D","D",0
"E","D",0
"A","E",5
"B","E",0
"C","E",0
"D","E",0
"E","E",657
