"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: A",0.979335130278526,0.990747330960854,0.976702508960574,0.991806198788742,0.976702508960573,0.979335130278526,0.978017048003589,0.283711445322457,0.277848585266378,0.284476166199337,0.98504123061969
"Class: B",0.935821872953504,0.985915492957746,0.94137022397892,0.984513274336283,0.94137022397892,0.935821872953504,0.938587848932676,0.194621463165944,0.182131022176905,0.193474381850625,0.960868682955625
"Class: C",0.933621933621934,0.988544891640867,0.945906432748538,0.985798085828959,0.945906432748538,0.933621933621934,0.939724037763253,0.176650522559266,0.164924802447107,0.174356359928626,0.9610834126314
"Class: D",0.9491133384734,0.991601771262788,0.957231726283048,0.989939024390244,0.957231726283048,0.9491133384734,0.953155245838173,0.165307162885547,0.156895233239867,0.163905174611267,0.970357554868094
"Class: E",0.981560283687943,0.990988191423244,0.959778085991678,0.995940037476577,0.959778085991678,0.981560283687943,0.97054698457223,0.179709406066786,0.176395615600306,0.183787917410145,0.986274237555594
