"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: A",0.496821515892421,0.946751863684771,0.910394265232975,0.633416458852868,0.910394265232975,0.496821515892421,0.642834546029737,0.521284731073158,0.258985470303339,0.284476166199337,0.721786689788596
"Class: B",0.507736943907157,0.854227833235467,0.345849802371541,0.91956384323641,0.345849802371542,0.507736943907157,0.411442006269592,0.131786897782309,0.0669130767269946,0.193474381850625,0.680982388571312
"Class: C",0.334466019417476,0.88264777048047,0.503654970760234,0.788360605125039,0.503654970760234,0.334466019417476,0.401983663943991,0.262554167728779,0.087815447361713,0.174356359928626,0.608556894948973
"Class: D",NA,0.836094825388733,NA,NA,0,NA,NA,0,0,0.163905174611267,NA
"Class: E",0.992447129909366,0.890729398663697,0.455617198335645,0.999219237976265,0.455617198335645,0.992447129909366,0.624524714828897,0.0843742034157532,0.0837369360183533,0.183787917410145,0.941588264286531
