"Prediction","Reference","Freq"
"A","A",2185
"B","A",49
"C","A",0
"D","A",0
"E","A",2
"A","B",36
"B","B",1433
"C","B",43
"D","B",7
"E","B",8
"A","C",4
"B","C",30
"C","C",1307
"D","C",37
"E","C",12
"A","D",7
"B","D",2
"C","D",15
"D","D",1238
"E","D",29
"A","E",0
"B","E",4
"C","E",3
"D","E",4
"E","E",1391
