"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: A",0.977191413237925,0.991622103386809,0.978942652329749,0.990915568222301,0.978942652329749,0.977191413237925,0.978066248880931,0.284985980117257,0.278485852663778,0.284476166199337,0.984406758312367
"Class: B",0.938441388343156,0.986548504510207,0.944005270092226,0.985145385587863,0.944005270092227,0.938441388343156,0.941215106732348,0.194621463165944,0.182640836094825,0.193474381850625,0.962494946426682
"Class: C",0.940287769784173,0.990551425030979,0.955409356725146,0.987187403519605,0.955409356725146,0.940287769784173,0.94778825235678,0.177160336477186,0.166581697680347,0.174356359928626,0.965419597407576
"Class: D",0.958946553059644,0.992677345537757,0.962674961119751,0.991920731707317,0.962674961119751,0.958946553059644,0.960807140085371,0.164542442008667,0.157787407596227,0.163905174611267,0.975811949298701
"Class: E",0.992154065620542,0.992085661080074,0.964632454923717,0.998282323547783,0.964632454923717,0.992154065620542,0.978199718706048,0.178689778230946,0.177287789956666,0.183787917410145,0.992119863350308
