"Model","Accuracy","CI_low","CI_high","Kappa","OOS_Error"
"Decision Tree (rpart)",0.4974509304104,0.486326489024479,0.508577266431503,0.343008341307673,0.5025490695896
"Bagged Tree",0.958195258730563,0.953529554712353,0.962516576662995,0.947130344574938,0.0418047412694367
"GBM",0.962783583991843,0.958355885056089,0.966863081104605,0.952924852511575,0.0372164160081571
"Random Forest",0.993627326026,0.991606954086862,0.995266487177764,0.991938487722767,0.00637267397399954
